baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	
ENSG00000004975	1.304196964	-1.136149952	0.974954379	-1.165336528	0.243882798	0.406714831
ENSG00000005001	0.035030311	-0.277909012	5.053383997	-0.054994636	0.956142737	NA
ENSG00000005007	20.04205103	0.252740525	0.534469802	0.472880832	0.636298201	0.756825896
ENSG00000005020	2398.038243	0.421487523	0.101404299	4.156505476	3.23E-05	0.000897458
ENSG00000005022	106.0143297	-0.067284873	0.152417362	-0.441451497	0.658886168	0.773526589
ENSG00000005059	23.09818275	-1.657641785	0.427101238	-3.881144883	0.000103966	0.002218192
ENSG00000005075	27.6895632	-0.398798484	0.157410345	-2.533496034	0.011293102	0.056451025
ENSG00000005100	0.901197713	0.482304848	0.756563725	0.637494017	0.523803106	0.667980179
ENSG00000005102	0.299265518	-0.473245352	1.214683132	-0.389603955	0.696829427	NA
ENSG00000005108	0.043367386	-1.231736748	5.052551114	-0.243785114	0.80739725	NA
ENSG00000005156	6.809957157	-1.029624332	0.735304713	-1.400268915	0.161432806	0.310948972
ENSG00000005175	119.5273892	-0.575812363	0.213094047	-2.702151333	0.00688924	0.041573844
ENSG00000005187	19.58175421	0.733717503	0.436747703	1.679957324	0.092965619	0.217739187
ENSG00000005189	18.77042626	0.132947235	0.47895126	0.277579883	0.781334877	0.859880213
ENSG00000005194	32.18089905	-0.717683936	0.278970983	-2.572611422	0.010093446	0.052896715
ENSG00000005206	3.592223352	-0.534528476	0.577187052	-0.926092286	0.354398023	0.51684736
ENSG00000005238	24.09895504	0.501247959	0.255396767	1.962624529	0.049689818	0.146492917
ENSG00000005243	0.982204711	-0.742952475	1.076466806	-0.690176856	0.490082976	0.638516844
ENSG00000005249	2462.394637	0.429437374	0.227367013	1.888740889	0.058926557	0.163069657
ENSG00000005302	45.77802245	-0.44992716	0.330818607	-1.360041878	0.173816672	0.326415761
ENSG00000005339	38.4789671	-0.745751548	0.331056842	-2.252638981	0.024281921	0.092870207
ENSG00000005379	0.701154896	-0.423411534	0.951020583	-0.445218055	0.65616218	0.771582843
ENSG00000005381	4.811653208	2.933070654	0.928805729	3.157894663	0.00158913	0.01548342
ENSG00000005436	4.340208999	-1.406652139	0.764265282	-1.840528638	0.065690664	0.174915792
ENSG00000005448	7.284838617	-1.154339319	0.633852338	-1.821148634	0.068584266	0.179714756
ENSG00000005469	5.219705101	-0.731900887	0.547163442	-1.337627535	0.181017884	0.33514901
ENSG00000005471	1.900770069	-1.472810701	0.982849902	-1.4985103	0.134000719	0.275831356
ENSG00000005483	399.1438652	-0.693353021	0.126332679	-5.488310927	4.06E-08	5.21E-06
ENSG00000005486	23.1271251	-0.534681568	0.206943007	-2.583714119	0.009774277	0.051922241
ENSG00000005700	27.36933101	-0.438129715	0.385721919	-1.135869375	0.256011237	0.419521147
ENSG00000005801	3.811471418	-0.946296554	0.599616091	-1.578170712	0.114526397	0.249449074
ENSG00000005810	175.7080831	-0.453882043	0.185201235	-2.450750631	0.014255868	0.065907318
ENSG00000005812	7.025619535	-0.864772277	0.495890449	-1.743877661	0.081180425	0.200583585
ENSG00000005844	42.58473398	-0.967093593	0.453217685	-2.133839044	0.032855959	0.113071373
ENSG00000005882	56.35112631	0.499035633	0.226936223	2.199012684	0.02787702	0.101482437
ENSG00000005884	0.123883313	0.025975306	2.957695424	0.008782279	0.992992845	NA
ENSG00000005889	10.91677773	-0.730748082	0.490789658	-1.488923145	0.136507608	0.278980415
ENSG00000005893	194.549792	0.209970324	0.161959491	1.296437297	0.194824869	0.351363932
ENSG00000005955	55.66309836	-0.884658203	0.278851246	-3.172509417	0.001511277	0.014946992
ENSG00000005961	10102.53145	0.862120758	0.151277438	5.698938113	1.21E-08	2.30E-06
ENSG00000006007	118.1107876	0.283262182	0.152372306	1.859013548	0.063025218	0.170300635
ENSG00000006015	11.81764945	-0.861536663	0.375429346	-2.294803727	0.021744375	0.086503992
ENSG00000006025	3.344377066	-1.163221441	0.895640275	-1.29875964	0.194026429	0.350665621
ENSG00000006042	0.309449125	-1.898011257	1.649282027	-1.150810611	0.249810158	NA
ENSG00000006062	3.247514137	-1.233212871	0.724868115	-1.701292753	0.088888028	0.212175098
ENSG00000006074	0.561614236	-0.683820772	0.901534321	-0.758507753	0.448147074	NA
ENSG00000006075	1.746442773	-1.513511568	0.526706803	-2.873537151	0.004059033	0.029054949
ENSG00000006114	18.58155589	-0.851440067	0.384168594	-2.216318771	0.026669678	0.098589886
ENSG00000006125	267.5834905	0.554838949	0.178947428	3.100569561	0.001931488	0.017734304
ENSG00000006194	0.587584356	-0.04611159	0.864489089	-0.053339701	0.957461248	NA
ENSG00000006282	4.408784243	-0.552744315	0.679206496	-0.813808935	0.415754416	0.57397575
