"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003"	1.87426829874253	1.38056310167383	0.946152509490241	1.45913379484417	0.144528286328694	0.212271588393449
"ENSG00000000419"	25.6732914727095	-1.9060636982245	0.387296768918289	-4.9214552022938	8.59030669483517e-07	4.93879918904979e-06
"ENSG00000000457"	6.17248448193711	-2.01445185611683	0.593415625252849	-3.3946727561454	0.000687106750813004	0.0019348218498067
"ENSG00000000460"	19.4872013120622	-0.0454445451873792	0.298558807875299	-0.152213044762559	0.879018905616231	0.908963723140788
"ENSG00000000938"	92.3608688624415	-1.76929945509752	0.338529082341779	-5.22643266823154	1.72811708598253e-07	1.15945382482596e-06
"ENSG00000000971"	1.8466973470763	-2.55360360119441	1.18670938063109	-2.1518356919336	0.0314102976420905	0.0572346042318722
"ENSG00000001036"	35.672454587432	-0.433411248493312	0.193747830630151	-2.23698632951745	0.0252872335280931	0.0473354204361112
"ENSG00000001084"	4.36458548381322	-3.06864226233198	0.749090155906647	-4.09649257587414	4.19456933722749e-05	0.000158110941018414
"ENSG00000001167"	4.85517616524948	-1.63065003484895	0.584112326725479	-2.79167201279648	0.0052436478282683	0.0117922178070113
"ENSG00000001460"	2.85788085457597	-0.417554997691995	0.634513318537628	-0.658071289432253	0.510492323496041	0.600315275202572
"ENSG00000001461"	54.1089885861261	-0.0272521166087214	0.241753686202498	-0.112726788314179	0.910247162608764	0.933064277589361
"ENSG00000001497"	13.4091688602097	-2.10694717315255	0.514025222467692	-4.09891787612616	4.1508627313497e-05	0.000156659121356606
"ENSG00000001561"	3.26265077818335	-1.09981101423801	0.49219060915936	-2.23452254832013	0.0254487106098639	0.0475859811281593
"ENSG00000001629"	27.1206867245463	-0.628102083171613	0.263898028978142	-2.38009387794115	0.0173082279730464	0.0339391988754344
"ENSG00000001631"	33.9288921240152	-1.14855562319524	0.309192548450499	-3.71469373680304	0.00020344994885913	0.00064856436392035
"ENSG00000002016"	1.23867605555671	-3.19017989101276	0.975513883389096	-3.27025575477157	0.00107450288346887	0.00288144079336144
"ENSG00000002330"	16.003911832161	0.0339879310163997	0.220698329883924	0.154001759026793	0.877608348629366	0.908050202902717
"ENSG00000002549"	93.2708238224032	-0.188176688708198	0.253557814687918	-0.742145095941169	0.457999429597487	0.54999042691556
"ENSG00000002586"	3771.92992059635	0.341483263304899	0.101544275117302	3.36290020200964	0.000771282410159383	0.00214988731682978
"ENSG00000002587"	0.161793255718936	-1.96184797904117	1.672923991452	-1.17270598608511	0.240913730085531	NA
"ENSG00000002726"	0.0589673485862086	-0.862749813148086	4.91996610957191	-0.175356860989263	0.860799235248562	NA
"ENSG00000002745"	0.28667985063317	-2.7304417627527	1.41989178700711	-1.92299285603166	0.0544809470543588	0.0923154962936331
"ENSG00000002822"	11.9028816296389	-2.66122159549217	0.422309006193536	-6.30159801582015	2.94592392266389e-10	3.77302765596943e-09
"ENSG00000002834"	18.6057209105019	-0.106211582930447	0.251896750019495	-0.421647293671821	0.673282480656787	0.743470021308588
"ENSG00000002919"	8.44448174971467	-1.03698830587081	0.391764503031228	-2.64696851768663	0.00812169136543843	0.0173950648925837
"ENSG00000002933"	5.32406918482217	-2.1730096701454	0.830732625847269	-2.61577504305809	0.00890251889059846	0.0188486115887751
"ENSG00000003056"	102.973110798464	-0.854525043184736	0.18478054220992	-4.62454018677981	3.75430295459648e-06	1.83208388871438e-05
"ENSG00000003096"	2.36213133380432	-0.133147978666955	0.592249640555372	-0.224817322881104	0.822121389308148	0.864595151561019
